,date,symbol,open,close,low,high,volume,reported_year,reported_month
439,2010-01-04,GOOG,312.304948382,312.205308358,310.955000817,313.580158083,3927000.0,2010,1
907,2010-01-05,GOOG,312.419511472,310.830458632,309.610028105,312.748278173,6031900.0,2010,1
1375,2010-01-06,GOOG,311.761978566,302.994812557,302.048369558,311.761978566,7987100.0,2010,1
1843,2010-01-07,GOOG,303.562685032,295.941242071,295.218950896,303.86157472,12876600.0,2010,1
2311,2010-01-08,GOOG,294.895159047,299.886469888,293.455550553,300.499172329,9483900.0,2010,1
2779,2010-01-11,GOOG,301.10192606,299.433161001,295.911365555,301.10192606,14479800.0,2010,1
3247,2010-01-12,GOOG,297.709616768,294.138016503,292.902632525,297.963675992,9742900.0,2010,1
3715,2010-01-13,GOOG,287.169102205,292.449323638,285.878938555,293.091932981,13041800.0,2010,1
4183,2010-01-14,GOOG,290.8602703,293.824173364,290.317331369,295.99104689,8511900.0,2010,1
4651,2010-01-15,GOOG,295.562671048,288.917548598,287.941228585,295.672259783,10909600.0,2010,1
5119,2010-01-19,GOOG,289.515327974,292.713331572,287.069492566,294.108109103,8665700.0,2010,1
5587,2010-01-20,GOOG,291.896405113,289.121803003,286.571353215,291.896405113,6525700.0,2010,1
6055,2010-01-21,GOOG,290.631144122,290.401987059,285.057037741,292.314832245,12662600.0,2010,1
6523,2010-01-22,GOOG,281.196496497,273.978527716,266.431792233,284.235106541,13651700.0,2010,1
6991,2010-01-25,GOOG,272.274911289,268.992221616,266.75558458,273.913769446,8872800.0,2010,1
7459,2010-01-26,GOOG,267.980989462,270.197698193,267.144134699,273.774303698,8743600.0,2010,1
7927,2010-01-27,GOOG,269.624851862,270.03830464,266.655974942,272.802927654,7958400.0,2010,1
8395,2010-01-28,GOOG,271.228828265,266.147856494,264.309748674,272.479135307,6482300.0,2010,1
8863,2010-01-29,GOOG,268.24002304,263.98098247,261.824057156,269.485355728,8311900.0,2010,1
9331,2010-02-01,GOOG,266.302306079,265.51522575,264.16030383,266.905029424,4518400.0,2010,2
9799,2010-02-02,GOOG,266.481627439,264.56878275,262.820335859,266.481627439,8223000.0,2010,2
10267,2010-02-03,GOOG,263.348351725,269.400669652,263.129174256,270.03830464,6020500.0,2010,2
10735,2010-02-04,GOOG,267.497803561,262.406883081,261.799154995,267.995942913,6780600.0,2010,2
